z_slice,activity
0,3.806420596316457
1,4.001197185367346
2,4.212434142827988
3,4.3905341774225235
4,4.468172714114189
5,4.475339058786631
6,4.404112737625837
7,4.356918152421713
8,4.242440704256296
9,4.173370752483606
10,4.1157025918364525
11,4.097438298165798
12,4.079327825456858
13,4.054749362170696
14,3.9979430735111237
15,3.9272539131343365
16,3.8486759662628174
17,3.799931526184082
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
